key,population,cases
GM0450,13528,0
GM0385,36099,0
GM0119,33564,0
GM0096,1138,0
GM0312,15192,0
GM0262,33590,0
GM0184,20776,0
GM0786,12483,0
GM0899,28103,0
GM1884,26866,0
GM0340,20004,0
GM0232,33145,0
GM0074,50257,0
GM0984,43326,0
GM0402,90238,0
GM1680,25386,0
GM0299,43488,0
GM0502,66818,0
GM0736,44059,0
GM0388,18507,0
GM0531,30966,0
GM0610,25026,0
GM0988,49842,0
GM1773,18071,0
GM1708,43940,0
GM0294,28903,0
GM0267,42943,0
GM0534,21966,0
GM0994,16470,0
GM0317,9113,0
GM0047,27491,0
GM0432,11779,0
GM1892,42762,0
GM0405,73004,0
GM0532,21706,0
GM1711,31638,0
