key,population,cases
04,859959,0
94,344679,0
02,358749,0
11,12278210,0
32,5962662,0
75,5999982,0
28,3303500,0
01,376879,0
52,3801797,0
24,2559073,0
44,5511747,0
03,290691,0
93,5055651,0
53,3340379,0
27,2783039,0
76,5924858,0
84,8032377,0
